"Status","Seniority","Home","Time","Age","Marital","Records","Job","Expenses","Income","Assets","Debt","Amount","Price","Finrat","Savings","seniorityR","timeR","ageR","expensesR","incomeR","assetsR","debtR","amountR","priceR","finratR","savingsR"
"good",12,"rent",60,34,"married","no_rec","fixed",94,185,0,0,1200,1236,97.0873786407767,4.55,"sen (8,14]","time (48,99]","age (30,40]","exp (80,1e+04]","inc (140,190]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (4,6]"
"good",13,"owner",42,34,"married","no_rec","fixed",105,190,2500,300,1100,1395,78.8530465949821,3.13090909090909,"sen (8,14]","time (36,48]","age (30,40]","exp (80,1e+04]","inc (140,190]","asset (0,3e+03]","debt (0,500]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (70,80]","sav (2,4]"
"good",10,"owner",60,49,"married","no_rec","freelance",60,150,23000,0,1200,1390,86.3309352517986,4.5,"sen (8,14]","time (48,99]","age (40,50]","exp (50,60]","inc (140,190]","asset (8e+03,1e+06]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.3e+03,1.5e+03]","finr (80,90]","sav (4,6]"
"good",6,"owner",60,28,"married","no_rec","fixed",60,102,5000,0,700,1355,51.6605166051661,3.6,"sen (3,8]","time (48,99]","age (25,30]","exp (50,60]","inc (80,110]","asset (3e+03,5e+03]","debt (-1,0]","am (600,900]","priz (1.3e+03,1.5e+03]","finr (50,70]","sav (2,4]"
"good",18,"rent",60,57,"married","no_rec","fixed",77,170,4000,0,1300,1604,81.0473815461347,4.29230769230769,"sen (14,99]","time (48,99]","age (50,99]","exp (60,80]","inc (140,190]","asset (3e+03,5e+03]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.5e+03,1.8e+03]","finr (80,90]","sav (4,6]"
"good",15,"owner",60,63,"married","no_rec","fixed",60,315,3500,266,1000,1241,80.58017727639,15.1404,"sen (14,99]","time (48,99]","age (50,99]","exp (50,60]","inc (190,1e+04]","asset (3e+03,5e+03]","debt (0,500]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (6,99]"
"bad",0,"rent",12,37,"married","no_rec","others",88,130,0,0,250,375,66.6666666666667,2.016,"sen (-1,1]","time (0,12]","age (30,40]","exp (80,1e+04]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (50,70]","sav (2,4]"
"good",2,"owner",36,27,"married","no_rec","fixed",45,156,6000,0,700,1045,66.9856459330144,5.70857142857143,"sen (1,3]","time (24,36]","age (25,30]","exp (40,50]","inc (140,190]","asset (5e+03,8e+03]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (50,70]","sav (4,6]"
"good",18,"rent",60,39,"married","no_rec","fixed",93,177,0,0,800,1781,44.9185850645705,6.3,"sen (14,99]","time (48,99]","age (30,40]","exp (80,1e+04]","inc (140,190]","asset (-1,0]","debt (-1,0]","am (600,900]","priz (1.5e+03,1.8e+03]","finr (0,50]","sav (6,99]"
"good",12,"owner",36,64,"single","yes_rec","freelance",60,341,4500,0,900,900,100,11.24,"sen (8,14]","time (24,36]","age (50,99]","exp (50,60]","inc (190,1e+04]","asset (3e+03,5e+03]","debt (-1,0]","am (600,900]","priz (0,1e+03]","finr (90,100]","sav (6,99]"
"good",25,"owner",48,49,"married","no_rec","freelance",105,240,12000,4200,1660,1698,97.7620730270907,2.68915662650602,"sen (14,99]","time (36,48]","age (40,50]","exp (80,1e+04]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (2.5e+03,1e+06]","am (1.4e+03,1e+05]","priz (1.5e+03,1.8e+03]","finr (90,100]","sav (2,4]"
"good",8,"owner",12,49,"married","no_rec","freelance",60,142,6000,0,200,1048,19.0839694656489,4.92,"sen (3,8]","time (0,12]","age (40,50]","exp (50,60]","inc (140,190]","asset (5e+03,8e+03]","debt (-1,0]","am (0,600]","priz (1e+03,1.3e+03]","finr (0,50]","sav (4,6]"
"good",20,"owner",36,45,"married","no_rec","freelance",75,333,5000,0,1000,2200,45.4545454545455,9.288,"sen (14,99]","time (24,36]","age (40,50]","exp (60,80]","inc (190,1e+04]","asset (3e+03,5e+03]","debt (-1,0]","am (900,1.1e+03]","priz (1.8e+03,1e+05]","finr (0,50]","sav (6,99]"
"good",3,"parents",60,27,"single","no_rec","fixed",35,125,5000,0,770,1119,68.8114387846291,7.01298701298701,"sen (1,3]","time (48,99]","age (25,30]","exp (0,40]","inc (110,140]","asset (3e+03,5e+03]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (50,70]","sav (6,99]"
"good",2,"parents",36,30,"married","no_rec","fixed",45,170,0,0,700,1090,64.2201834862385,6.42857142857143,"sen (1,3]","time (24,36]","age (25,30]","exp (40,50]","inc (140,190]","asset (-1,0]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (50,70]","sav (6,99]"
"bad",2,"owner",36,33,"married","no_rec","freelance",75,220,16000,500,3000,4100,73.1707317073171,1.68,"sen (1,3]","time (24,36]","age (30,40]","exp (60,80]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (0,500]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (70,80]","sav (0,2]"
"good",15,"owner",36,40,"married","no_rec","fixed",60,230,8500,480,700,1400,50,8.496,"sen (14,99]","time (24,36]","age (30,40]","exp (50,60]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (0,500]","am (600,900]","priz (1.3e+03,1.5e+03]","finr (0,50]","sav (6,99]"
"good",3,"owner",60,30,"separated","no_rec","fixed",60,157,15000,0,1000,2010,49.7512437810945,5.82,"sen (1,3]","time (48,99]","age (25,30]","exp (50,60]","inc (140,190]","asset (8e+03,1e+06]","debt (-1,0]","am (900,1.1e+03]","priz (1.8e+03,1e+05]","finr (0,50]","sav (4,6]"
"good",4,"parents",12,30,"married","no_rec","fixed",60,340,16000,0,1900,2014,94.3396226415094,1.76842105263158,"sen (3,8]","time (0,12]","age (25,30]","exp (50,60]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (90,100]","sav (0,2]"
"good",3,"owner",60,25,"married","no_rec","partime",60,120,3500,200,1000,1342,74.5156482861401,3.48,"sen (1,3]","time (48,99]","age (0,25]","exp (50,60]","inc (110,140]","asset (3e+03,5e+03]","debt (0,500]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (70,80]","sav (2,4]"
"good",9,"rent",60,40,"single","no_rec","fixed",44,91,0,0,1000,1132,88.339222614841,2.82,"sen (8,14]","time (48,99]","age (30,40]","exp (40,50]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (2,4]"
"bad",4,"priv",42,50,"married","no_rec","freelance",60,150,7000,0,900,1048,85.8778625954198,4.2,"sen (3,8]","time (36,48]","age (40,50]","exp (50,60]","inc (140,190]","asset (5e+03,8e+03]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (80,90]","sav (4,6]"
"good",2,"owner",36,23,"single","no_rec","fixed",35,88,5500,0,750,1218,61.576354679803,2.544,"sen (1,3]","time (24,36]","age (0,25]","exp (0,40]","inc (80,110]","asset (5e+03,8e+03]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (50,70]","sav (2,4]"
"good",1,"other",48,28,"single","no_rec","partime",35,120,0,0,900,1114,80.7899461400359,4.53333333333333,"sen (-1,1]","time (36,48]","age (25,30]","exp (0,40]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (80,90]","sav (4,6]"
"bad",2,"rent",60,35,"married","yes_rec","freelance",75,70,0,0,1000,1206,82.9187396351576,-0.3,"sen (1,3]","time (48,99]","age (30,40]","exp (60,80]","inc (0,80]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (-99,0]"
"good",2,"rent",60,27,"married","no_rec","fixed",56,106,0,0,650,2132,30.4878048780488,4.61538461538461,"sen (1,3]","time (48,99]","age (25,30]","exp (50,60]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (600,900]","priz (1.8e+03,1e+05]","finr (0,50]","sav (4,6]"
"good",2,"parents",36,19,"married","no_rec","fixed",35,162,4000,100,400,570,70.1754385964912,11.34,"sen (1,3]","time (24,36]","age (0,25]","exp (0,40]","inc (140,190]","asset (3e+03,5e+03]","debt (0,500]","am (0,600]","priz (0,1e+03]","finr (70,80]","sav (6,99]"
"good",3,"parents",60,39,"married","no_rec","fixed",45,77,0,0,1000,1094,91.4076782449726,1.92,"sen (1,3]","time (48,99]","age (30,40]","exp (40,50]","inc (0,80]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (0,2]"
"good",8,"priv",36,39,"married","no_rec","fixed",75,128,2500,0,550,550,100,3.46909090909091,"sen (3,8]","time (24,36]","age (30,40]","exp (60,80]","inc (110,140]","asset (0,3e+03]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (90,100]","sav (2,4]"
"good",10,"owner",48,55,"widow","no_rec","fixed",35,189,9000,0,1200,1255,95.6175298804781,6.16,"sen (8,14]","time (36,48]","age (50,99]","exp (0,40]","inc (140,190]","asset (8e+03,1e+06]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (6,99]"
"good",10,"owner",36,32,"married","no_rec","freelance",60,300,40000,3000,2000,4138,48.3325277912035,3.78,"sen (8,14]","time (24,36]","age (30,40]","exp (50,60]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (2.5e+03,1e+06]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (0,50]","sav (2,4]"
"good",5,"owner",60,54,"married","no_rec","freelance",60,92,6000,1700,1700,1714,99.1831971995333,0.529411764705882,"sen (3,8]","time (48,99]","age (50,99]","exp (50,60]","inc (80,110]","asset (5e+03,8e+03]","debt (1.5e+03,2.5e+03]","am (1.4e+03,1e+05]","priz (1.5e+03,1.8e+03]","finr (90,100]","sav (0,2]"
"good",20,"owner",48,58,"married","no_rec","freelance",60,380,35000,0,1100,1150,95.6521739130435,13.9636363636364,"sen (14,99]","time (36,48]","age (50,99]","exp (50,60]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (6,99]"
"good",5,"owner",24,37,"married","no_rec","freelance",75,500,14000,0,1500,2673,56.1167227833894,6.8,"sen (3,8]","time (12,24]","age (30,40]","exp (60,80]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (50,70]","sav (6,99]"
"good",20,"parents",60,36,"married","no_rec","freelance",60,130,0,0,1200,1630,73.6196319018405,3.5,"sen (14,99]","time (48,99]","age (30,40]","exp (50,60]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.5e+03,1.8e+03]","finr (70,80]","sav (2,4]"
"good",12,"owner",60,28,"married","no_rec","fixed",45,141,6000,400,1100,1544,71.2435233160622,5.01818181818182,"sen (8,14]","time (48,99]","age (25,30]","exp (40,50]","inc (140,190]","asset (5e+03,8e+03]","debt (0,500]","am (900,1.1e+03]","priz (1.5e+03,1.8e+03]","finr (70,80]","sav (4,6]"
"good",13,"owner",60,38,"married","no_rec","fixed",75,220,6500,3600,1000,1195,83.6820083682008,6.54,"sen (8,14]","time (48,99]","age (30,40]","exp (60,80]","inc (190,1e+04]","asset (5e+03,8e+03]","debt (2.5e+03,1e+06]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (6,99]"
"good",11,"owner",36,26,"married","no_rec","fixed",60,146,5000,1300,400,1206,33.167495854063,6.57,"sen (8,14]","time (24,36]","age (25,30]","exp (50,60]","inc (140,190]","asset (3e+03,5e+03]","debt (500,1.5e+03]","am (0,600]","priz (1e+03,1.3e+03]","finr (0,50]","sav (6,99]"
"good",17,"owner",60,41,"married","no_rec","freelance",75,250,13500,3700,1400,2050,68.2926829268293,5.91428571428571,"sen (14,99]","time (48,99]","age (40,50]","exp (60,80]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (2.5e+03,1e+06]","am (1.1e+03,1.4e+03]","priz (1.8e+03,1e+05]","finr (50,70]","sav (4,6]"
"good",6,"owner",36,42,"married","no_rec","fixed",60,132,6000,0,1200,1513,79.3126239259749,2.16,"sen (3,8]","time (24,36]","age (40,50]","exp (50,60]","inc (110,140]","asset (5e+03,8e+03]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.5e+03,1.8e+03]","finr (70,80]","sav (2,4]"
"good",22,"owner",6,46,"married","no_rec","freelance",90,150,75000,0,3000,3300,90.9090909090909,0.12,"sen (14,99]","time (0,12]","age (40,50]","exp (80,1e+04]","inc (140,190]","asset (8e+03,1e+06]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (90,100]","sav (0,2]"
"good",25,"rent",60,52,"married","no_rec","fixed",73,127,0,0,1030,1250,82.4,3.14563106796116,"sen (14,99]","time (48,99]","age (50,99]","exp (60,80]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (2,4]"
"bad",8,"owner",60,30,"married","no_rec","partime",60,90,3000,500,1000,1339,74.6825989544436,1.5,"sen (3,8]","time (48,99]","age (25,30]","exp (50,60]","inc (80,110]","asset (0,3e+03]","debt (0,500]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (70,80]","sav (0,2]"
"bad",19,"owner",60,47,"married","yes_rec","freelance",90,166,12500,1000,875,875,100,4.52571428571429,"sen (14,99]","time (48,99]","age (40,50]","exp (80,1e+04]","inc (140,190]","asset (8e+03,1e+06]","debt (500,1.5e+03]","am (600,900]","priz (0,1e+03]","finr (90,100]","sav (4,6]"
"good",3,"owner",18,66,"married","no_rec","others",45,69,12000,0,500,1101,45.4132606721163,0.864,"sen (1,3]","time (12,24]","age (50,99]","exp (40,50]","inc (0,80]","asset (8e+03,1e+06]","debt (-1,0]","am (0,600]","priz (1e+03,1.3e+03]","finr (0,50]","sav (0,2]"
"good",35,"owner",60,54,"married","no_rec","fixed",45,182,4000,0,1000,1568,63.7755102040816,8.22,"sen (14,99]","time (48,99]","age (50,99]","exp (40,50]","inc (140,190]","asset (3e+03,5e+03]","debt (-1,0]","am (900,1.1e+03]","priz (1.5e+03,1.8e+03]","finr (50,70]","sav (6,99]"
"good",0,"owner",42,65,"married","no_rec","others",45,77,4000,2000,750,1194,62.8140703517588,0.672,"sen (-1,1]","time (36,48]","age (50,99]","exp (40,50]","inc (0,80]","asset (3e+03,5e+03]","debt (1.5e+03,2.5e+03]","am (600,900]","priz (1e+03,1.3e+03]","finr (50,70]","sav (0,2]"
"bad",7,"other",60,25,"married","no_rec","fixed",45,50,0,0,950,1378,68.9404934687954,0.315789473684211,"sen (3,8]","time (48,99]","age (0,25]","exp (40,50]","inc (0,80]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (50,70]","sav (0,2]"
"good",3,"owner",60,31,"single","no_rec","fixed",35,131,4000,0,1050,1139,92.1861281826163,5.48571428571429,"sen (1,3]","time (48,99]","age (30,40]","exp (0,40]","inc (110,140]","asset (3e+03,5e+03]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (4,6]"
"good",1,"parents",24,23,"single","no_rec","fixed",35,62,0,0,350,350,100,1.85142857142857,"sen (-1,1]","time (12,24]","age (0,25]","exp (0,40]","inc (0,80]","asset (-1,0]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (90,100]","sav (0,2]"
"bad",5,"owner",60,35,"married","no_rec","fixed",75,60,3000,400,1150,1406,81.7923186344239,-0.991304347826087,"sen (3,8]","time (48,99]","age (30,40]","exp (60,80]","inc (0,80]","asset (0,3e+03]","debt (0,500]","am (1.1e+03,1.4e+03]","priz (1.3e+03,1.5e+03]","finr (80,90]","sav (-99,0]"
"good",2,"owner",60,47,"married","no_rec","fixed",90,86,4500,0,1200,1497,80.1603206412826,-0.2,"sen (1,3]","time (48,99]","age (40,50]","exp (80,1e+04]","inc (80,110]","asset (3e+03,5e+03]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.3e+03,1.5e+03]","finr (80,90]","sav (-99,0]"
"bad",13,"rent",36,28,"married","no_rec","fixed",59,143,0,0,1400,1600,87.5,2.16,"sen (8,14]","time (24,36]","age (25,30]","exp (50,60]","inc (140,190]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.5e+03,1.8e+03]","finr (80,90]","sav (2,4]"
"bad",27,"rent",60,50,"married","yes_rec","fixed",87,120,0,0,1300,1350,96.2962962962963,1.52307692307692,"sen (14,99]","time (48,99]","age (40,50]","exp (80,1e+04]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.3e+03,1.5e+03]","finr (90,100]","sav (0,2]"
"bad",3,"other",60,25,"single","no_rec","fixed",35,283,0,0,2000,2032,98.4251968503937,7.44,"sen (1,3]","time (48,99]","age (0,25]","exp (0,40]","inc (190,1e+04]","asset (-1,0]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (90,100]","sav (6,99]"
"good",0,"owner",36,39,"married","no_rec","fixed",60,138,3000,0,1400,2610,53.639846743295,2.00571428571429,"sen (-1,1]","time (24,36]","age (30,40]","exp (50,60]","inc (110,140]","asset (0,3e+03]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.8e+03,1e+05]","finr (50,70]","sav (2,4]"
"good",1,"priv",12,46,"married","no_rec","others",90,90,2000,600,500,1193,41.9111483654652,-0.144,"sen (-1,1]","time (0,12]","age (40,50]","exp (80,1e+04]","inc (80,110]","asset (0,3e+03]","debt (500,1.5e+03]","am (0,600]","priz (1e+03,1.3e+03]","finr (0,50]","sav (-99,0]"
"bad",1,"rent",60,36,"married","yes_rec","fixed",85,99,0,0,1200,1275,94.1176470588235,0.7,"sen (-1,1]","time (48,99]","age (30,40]","exp (80,1e+04]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (0,2]"
"bad",10,"owner",36,39,"married","yes_rec","freelance",75,160,15000,0,3250,3750,86.6666666666667,0.941538461538462,"sen (8,14]","time (24,36]","age (30,40]","exp (60,80]","inc (140,190]","asset (8e+03,1e+06]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (80,90]","sav (0,2]"
"good",1,"owner",60,25,"married","no_rec","partime",60,330,9000,3500,1300,2500,52,10.8461538461538,"sen (-1,1]","time (48,99]","age (0,25]","exp (50,60]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (2.5e+03,1e+06]","am (1.1e+03,1.4e+03]","priz (1.8e+03,1e+05]","finr (50,70]","sav (6,99]"
"good",6,"owner",36,49,"married","no_rec","freelance",60,100,22000,0,1000,1790,55.8659217877095,1.44,"sen (3,8]","time (24,36]","age (40,50]","exp (50,60]","inc (80,110]","asset (8e+03,1e+06]","debt (-1,0]","am (900,1.1e+03]","priz (1.5e+03,1.8e+03]","finr (50,70]","sav (0,2]"
"bad",3,"rent",48,52,"married","no_rec","fixed",96,210,0,0,1400,1419,98.661028893587,3.90857142857143,"sen (1,3]","time (36,48]","age (50,99]","exp (80,1e+04]","inc (190,1e+04]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.3e+03,1.5e+03]","finr (90,100]","sav (2,4]"
"good",10,"rent",30,34,"separated","no_rec","fixed",45,100,0,0,700,1480,47.2972972972973,2.35714285714286,"sen (8,14]","time (24,36]","age (30,40]","exp (40,50]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (600,900]","priz (1.3e+03,1.5e+03]","finr (0,50]","sav (2,4]"
"good",0,"owner",36,24,"single","no_rec","partime",45,97,8000,0,600,1542,38.9105058365759,3.12,"sen (-1,1]","time (24,36]","age (0,25]","exp (40,50]","inc (80,110]","asset (5e+03,8e+03]","debt (-1,0]","am (0,600]","priz (1.5e+03,1.8e+03]","finr (0,50]","sav (2,4]"
"bad",1,"rent",60,38,"married","no_rec","freelance",45,65,0,0,1500,1850,81.0810810810811,0.8,"sen (-1,1]","time (48,99]","age (30,40]","exp (40,50]","inc (0,80]","asset (-1,0]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (80,90]","sav (0,2]"
"good",6,"owner",48,24,"married","no_rec","fixed",45,227,3000,0,600,1380,43.4782608695652,14.56,"sen (3,8]","time (36,48]","age (0,25]","exp (40,50]","inc (190,1e+04]","asset (0,3e+03]","debt (-1,0]","am (0,600]","priz (1.3e+03,1.5e+03]","finr (0,50]","sav (6,99]"
"good",5,"owner",42,33,"married","yes_rec","fixed",45,140,22000,2500,1200,1888,63.5593220338983,2.45,"sen (3,8]","time (36,48]","age (30,40]","exp (40,50]","inc (110,140]","asset (8e+03,1e+06]","debt (1.5e+03,2.5e+03]","am (1.1e+03,1.4e+03]","priz (1.8e+03,1e+05]","finr (50,70]","sav (2,4]"
"bad",1,"rent",48,31,"married","no_rec","fixed",87,115,0,0,1100,1672,65.7894736842105,1.22181818181818,"sen (-1,1]","time (36,48]","age (30,40]","exp (80,1e+04]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1.5e+03,1.8e+03]","finr (50,70]","sav (0,2]"
"good",37,"owner",48,63,"married","no_rec","fixed",60,150,3500,0,700,808,86.6336633663366,6.17142857142857,"sen (14,99]","time (36,48]","age (50,99]","exp (50,60]","inc (140,190]","asset (3e+03,5e+03]","debt (-1,0]","am (600,900]","priz (0,1e+03]","finr (80,90]","sav (6,99]"
"bad",1,"parents",60,23,"single","no_rec","fixed",35,90,0,0,1100,1107,99.3676603432701,3,"sen (-1,1]","time (48,99]","age (0,25]","exp (0,40]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (2,4]"
"good",40,"owner",42,61,"married","no_rec","fixed",90,275,12000,0,1000,1335,74.9063670411985,7.77,"sen (14,99]","time (36,48]","age (50,99]","exp (80,1e+04]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (70,80]","sav (6,99]"
"good",5,"parents",60,28,"single","no_rec","fixed",35,176,0,0,1190,1390,85.6115107913669,7.10924369747899,"sen (3,8]","time (48,99]","age (25,30]","exp (0,40]","inc (140,190]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.3e+03,1.5e+03]","finr (80,90]","sav (6,99]"
"good",11,"rent",60,58,"married","no_rec","fixed",71,110,3000,0,1150,1363,84.3727072633896,2.03478260869565,"sen (8,14]","time (48,99]","age (50,99]","exp (60,80]","inc (80,110]","asset (0,3e+03]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.3e+03,1.5e+03]","finr (80,90]","sav (2,4]"
"good",23,"owner",60,41,"married","no_rec","fixed",75,140,3000,0,1450,1482,97.8407557354926,2.68965517241379,"sen (14,99]","time (48,99]","age (40,50]","exp (60,80]","inc (110,140]","asset (0,3e+03]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.3e+03,1.5e+03]","finr (90,100]","sav (2,4]"
"good",23,"owner",60,38,"married","no_rec","fixed",45,500,3500,0,1900,2357,80.6109461179465,14.3684210526316,"sen (14,99]","time (48,99]","age (30,40]","exp (40,50]","inc (190,1e+04]","asset (3e+03,5e+03]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (80,90]","sav (6,99]"
"bad",5,"owner",60,27,"married","no_rec","fixed",75,66,3000,0,600,850,70.5882352941177,-0.9,"sen (3,8]","time (48,99]","age (25,30]","exp (60,80]","inc (0,80]","asset (0,3e+03]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (70,80]","sav (-99,0]"
"good",10,"owner",60,55,"married","no_rec","freelance",60,273,10000,0,1000,1180,84.7457627118644,12.78,"sen (8,14]","time (48,99]","age (50,99]","exp (50,60]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (6,99]"
"good",5,"owner",48,40,"married","no_rec","freelance",75,145,6000,0,825,1617,51.0204081632653,4.07272727272727,"sen (3,8]","time (36,48]","age (30,40]","exp (60,80]","inc (140,190]","asset (5e+03,8e+03]","debt (-1,0]","am (600,900]","priz (1.5e+03,1.8e+03]","finr (50,70]","sav (4,6]"
"good",31,"owner",60,59,"married","no_rec","fixed",60,67,6500,0,1080,1114,96.9479353680431,0.388888888888889,"sen (14,99]","time (48,99]","age (50,99]","exp (50,60]","inc (0,80]","asset (5e+03,8e+03]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (0,2]"
"bad",4,"owner",60,47,"married","no_rec","freelance",75,232,13500,0,1900,1976,96.1538461538462,4.95789473684211,"sen (3,8]","time (48,99]","age (40,50]","exp (60,80]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (90,100]","sav (4,6]"
"bad",10,"owner",60,38,"married","yes_rec","fixed",90,80,3000,1749,1030,1095,94.0639269406393,-1.60135922330097,"sen (8,14]","time (48,99]","age (30,40]","exp (80,1e+04]","inc (0,80]","asset (0,3e+03]","debt (1.5e+03,2.5e+03]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (-99,0]"
"good",0,"parents",60,25,"single","no_rec","freelance",35,130,0,0,800,1380,57.9710144927536,7.125,"sen (-1,1]","time (48,99]","age (0,25]","exp (0,40]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (600,900]","priz (1.3e+03,1.5e+03]","finr (50,70]","sav (6,99]"
"good",8,"other",60,28,"married","no_rec","fixed",45,200,0,0,700,1529,45.7815565729235,13.2857142857143,"sen (3,8]","time (48,99]","age (25,30]","exp (40,50]","inc (190,1e+04]","asset (-1,0]","debt (-1,0]","am (600,900]","priz (1.5e+03,1.8e+03]","finr (0,50]","sav (6,99]"
"good",2,"owner",36,49,"married","yes_rec","freelance",75,154,14000,0,850,1263,67.3000791765637,3.34588235294118,"sen (1,3]","time (24,36]","age (40,50]","exp (60,80]","inc (140,190]","asset (8e+03,1e+06]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (50,70]","sav (2,4]"
"good",3,"priv",48,38,"married","no_rec","freelance",90,187,2500,750,1550,1600,96.875,2.77161290322581,"sen (1,3]","time (36,48]","age (30,40]","exp (80,1e+04]","inc (140,190]","asset (0,3e+03]","debt (500,1.5e+03]","am (1.4e+03,1e+05]","priz (1.5e+03,1.8e+03]","finr (90,100]","sav (2,4]"
"bad",35,"owner",48,52,"married","no_rec","fixed",60,135,5000,0,1200,1400,85.7142857142857,3,"sen (14,99]","time (36,48]","age (50,99]","exp (50,60]","inc (110,140]","asset (3e+03,5e+03]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.3e+03,1.5e+03]","finr (80,90]","sav (2,4]"
